Date, OperationType, DocumentType, PolicyNumber, Topic
2023-11-24T15:08:42+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001566673 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:06:50+00:00,Successfully sent, DIRECT_DEBIT_MANDATE_CANCELLED_EVENT , 46289566 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.1 .
2023-11-24T15:04:13+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001143924 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:01:15+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001558802 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:01:13+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001606231 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:54:55+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 93839330 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:52:04+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 91666259 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:49:40+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 76533728 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:46:28+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94537026 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:46:26+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001373068 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:41:54+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 93849484 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:40:39+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001623179 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:40:37+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 93992325 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:40:37+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 80322927 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:37:45+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001623179 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:32:16+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001522652 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:32:16+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 54832253 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:30:09+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001092756 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:28:58+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 92953106 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:28:58+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 90780225 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:25:35+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 83996012 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:25:35+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94493308 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:18:55+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 90644923 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:10:12+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 74434488 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:07:54+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 90644923 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:01:36+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001541526 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:01:32+00:00,Successfully sent, CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT , P0001624333 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:00:11+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 89908285 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T14:00:03+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 93327778 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:53:38+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0000935149 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:46:20+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 93682780 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:46:17+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 93252725 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:41:00+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001222413 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:39:58+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94469021 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:39:56+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001576118 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:35:00+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 74000607 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:34:52+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 93687262 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:31:16+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 74000607 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:31:12+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 65516764 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:23:59+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001643599 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:19:50+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 92310390 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:16:13+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001613482 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:13:24+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 54209158 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:12:37+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 90560561 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:05:25+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 65970316 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:05:23+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 90560561 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:05:21+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 93359272 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:01:51+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001590359 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T13:01:49+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001444784 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:59:43+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 90560561 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:56:26+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 91640552 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:47:43+00:00,Successfully sent, CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT , P0001643721 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:39:13+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 81878692 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:39:05+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 78402532 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:36:37+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 93272946 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:29:34+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 92229124 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:18:27+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001533725 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:08:18+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 88533775 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T12:05:00+00:00,Successfully sent, DIRECT_DEBIT_MANDATE_CANCELLED_EVENT , 89948036 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.1 .
2023-11-24T12:01:43+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001332212 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:55:07+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001041370 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:55:04+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 84714934 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:49:57+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 90241729 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:42:58+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001490565 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:42:06+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001605312 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:38:58+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001278699 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:37:05+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001207904 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:31:15+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001305848 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:27:04+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001884168 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:21:02+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 77088036 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T11:05:56+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 73859263 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:55:14+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 43892674 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:52:39+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 77557356 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:43:29+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 64790054 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:43:21+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001663215 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:42:44+00:00,Successfully sent, CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT , P0001632778 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:39:11+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94305083 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:37:15+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001341348 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:36:11+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94305083 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:34:58+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001214454 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:34:56+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 94305083 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:34:05+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0000996561 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:33:22+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001318100 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:33:22+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0000909662 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:30:12+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 79526133 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:27:52+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 88264447 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:27:01+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94201878 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:26:08+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 88264447 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:23:12+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 85894495 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:22:13+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 46125905 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T10:18:38+00:00,Successfully sent, DIRECT_DEBIT_MANDATE_CANCELLED_EVENT , P0001839457 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.1 .
2023-11-24T10:11:40+00:00,Successfully sent, DIRECT_DEBIT_MANDATE_CANCELLED_EVENT , P0001840151 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.1 .
2023-11-24T10:08:28+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001153559 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T09:59:00+00:00,Successfully sent, DIRECT_DEBIT_MANDATE_CANCELLED_EVENT , 94601910 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.1 .
2023-11-24T09:58:18+00:00,Successfully sent, DIRECT_DEBIT_MANDATE_CANCELLED_EVENT , P0001843766 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.1 .
2023-11-24T09:57:09+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 94601910 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T09:46:14+00:00,Successfully sent, DIRECT_DEBIT_MANDATE_CANCELLED_EVENT , P0001826711 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.1 .
2023-11-24T09:44:46+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001695728 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T09:43:47+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 93284780 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T09:34:58+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 75025795 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T09:26:23+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001459848 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T09:13:47+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001641287 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T08:46:32+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001202010 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T08:34:49+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0000874065 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T08:34:47+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 94347211 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T08:23:30+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 93740087 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T08:21:24+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 88523959 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T08:11:54+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001584172 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:24:06+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 85670432 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:24:00+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 73861367 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:23:42+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 74830127 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:23:30+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 94204017 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:23:27+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 91358424 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:23:21+00:00,Successfully sent, FOLLOW_UP_DEBT_CHASE_LETTER_EVENT , 90955893 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:23:11+00:00,Successfully sent, FOLLOW_UP_DEBT_CHASE_LETTER_EVENT , P0001652354 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:23:11+00:00,Successfully sent, FOLLOW_UP_DEBT_CHASE_LETTER_EVENT , 84448068 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:23:01+00:00,Successfully sent, FOLLOW_UP_DEBT_CHASE_LETTER_EVENT , 85209422 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:22:57+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , P0001630206 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:22:45+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 81213573 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:22:27+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 90647652 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:22:19+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , P0001623213 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:22:05+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 79978531 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:22:04+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 93690684 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:22:00+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 86627589 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:22:00+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 89550784 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:58+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 88327279 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:50+00:00,Successfully sent, FOLLOW_UP_DEBT_CHASE_LETTER_EVENT , 94327903 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:48+00:00,Successfully sent, FOLLOW_UP_DEBT_CHASE_LETTER_EVENT , 83495916 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:46+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 88625563 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:34+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 73592358 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:28+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 39752985 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:26+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 90572868 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:20+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 90921077 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T03:21:18+00:00,Successfully sent, FIRST_DEBT_CHASE_LETTER_EVENT , 94272991 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
